Bill #,State,Session,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text
HB 4113,Michigan,2021-2022 Regular Session,"Crimes: prostitution; references to prostitute and prostitution; modify in the Michigan penal code. Amends secs. 13, 159g & 411j of 1931 PA 328 (MCL 750.13 et seq.).  TIE BAR WITH: HB 4112'21",Feb 03 2021,Bill Electronically Reproduced 02/03/2021,Feb 04 2021,https://openstates.org/mi/bills/2021-2022/HB4113/,Pauline Wendzel,"Annette Glenn; Karen Whitsett; Mary Whiteford; Julie Calley; Bronna Kahle; Felicia Brabec; Daire Rendon; Brad Paquette; Ann M. Bollin; Douglas Wozniak; Donna Lasinski; Cara Clemente; Abdullah Hammoud; Kara Hope; Sarah Anthony; Shri Thanedar; Kyra Harris Bolden; Lori Stone; Sue Allor; Jewell
 Jones; Tenisha Yancey",http://legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4113.htm
HB 1267,North Dakota,67th Legislative Assembly (2021-2022),Relating to cryptocurrency custodian services and exchanges; and to provide for a legislative management report.,Jan 11 2021,"Second Reading, Failed To Pass, Yeas 19 Nays 75",Feb 02 2021,https://openstates.org/nd/bills/67/HB1267/,,Nathan Toman; Cole Christensen; Tom Kading; Corey Mock; Shannon Roers Jones; Shawn Vedaa,http://www.ndlegis.gov/assembly/67-2021/regular/documents/21-0720-01000.pdf
HR 8827,United States,116th Congress,Stablecoin Classification and Regulation Act of 2020,Nov 30 2020,Introduced In House,Nov 30 2020,https://openstates.org/us/bills/116/HR8827/,Rashida Tlaib,Stephen F. Lynch; Jesus G. Garcia,https://www.govinfo.gov/content/pkg/BILLS-116hr8827ih/pdf/BILLS-116hr8827ih.pdf
HF 16,Minnesota,"2020, Third Special Session","Vehicles and property subject to forfeiture limited, innocent owner property recovery provided, federal equitable sharing program participation modified, reports required, and money appropriated.",Aug 12 2020,"Introduction And First Reading, Referred To Judiciary Finance And Civil Law Division",Aug 12 2020,https://openstates.org/mn/bills/2020s3/HF16/,John Lesch,,https://www.revisor.mn.gov/bills/text.php?number=HF16&version=0&session=ls91&session_year=2020&session_number=3
S 200,Massachusetts,191st Legislature (2019-2020),An Act relative to blockchain and cryptocurrencies,Jan 22 2019,"Bill Reported Favorably By Committee And Referred To The Committee On Rules Of The Two Branches, Acting Concurrently",Aug 10 2020,https://openstates.org/ma/bills/191st/S200/,Cynthia Stone Creem,Cynthia Stone Creem; Tommy Vitolo; Eric P. Lesser,https://malegislature.gov/Bills/191/S200.pdf
HF 18,Minnesota,"2020, Second Special Session","Vehicles and property subject to forfeiture limited, property recovery by innocent owners provided, federal equitable sharing program participation modified, reports required, and money appropriated.",Jul 13 2020,"Introduction And First Reading, Referred To Judiciary Finance And Civil Law Division",Jul 13 2020,https://openstates.org/mn/bills/2020s2/HF18/,John Lesch,,https://www.revisor.mn.gov/bills/text.php?number=HF18&version=0&session=ls91&session_year=2020&session_number=2
HB 4573,Illinois,101st Regular Session,Ruupa-Various,Feb 05 2020,Rule 19(B) / Re-Referred To Rules Committee,Jun 23 2020,https://openstates.org/il/bills/101st/HB4573/,Michael J. Zalewski,,http://ilga.gov/legislation/fulltext.asp?DocName=10100HB4573&GA=101&SessionId=108&DocTypeId=HB&LegID=124290&DocNum=4573&GAID=15&SpecSess=&Session=&print=true
HF 31,Minnesota,"2020, First Special Session","Vehicles and property subject to forfeiture limited, recovery of property by innocent owners provided, federal equitable sharing program participation modified, reports required, and money appropriated.",Jun 12 2020,"Introduction And First Reading, Referred To Judiciary Finance And Civil Law Division",Jun 12 2020,https://openstates.org/mn/bills/2020s1/HF31/,John Lesch,,https://www.revisor.mn.gov/bills/text.php?number=HF31&version=0&session=ls91&session_year=2020&session_number=1
HR 249,Tennessee,111th Regular Session (2019-2020),"General Assembly, Directed Studies - Directs the Tennessee Department of Financial Institutions to conduct a study relative to the application of blockchain and related technology in the financial services sector and to recommend any changes to the laws and rules of this State that impact the application of those technologies in this State. -",Mar 03 2020,Taken Off Notice For Cal. In Delayed Bill Committee,Jun 01 2020,https://openstates.org/tn/bills/111/HR249/,Powers,,http://www.capitol.tn.gov/Bills/111/Bill/HR0249.pdf
SB 3153,Illinois,101st Regular Session,Ruupa-Various,Feb 06 2020,"Rule 2-10 Committee/3rd Reading Deadline Established As May 31, 2020",May 15 2020,https://openstates.org/il/bills/101st/SB3153/,Rachelle Crowe,,http://ilga.gov/legislation/fulltext.asp?DocName=10100SB3153&GA=101&SessionId=108&DocTypeId=SB&LegID=124539&DocNum=3153&GAID=15&SpecSess=&Session=&print=true
SB 192,Wisconsin,2019 Regular Session,Relating to: sales and use tax exemptions for precious metals and cryptocurrency. (FE),Apr 30 2019,Failed To Pass Pursuant To Senate Joint Resolution 1,Apr 01 2020,https://openstates.org/wi/bills/2019/SB192/,David Craig,,http://docs.legis.wisconsin.gov/document/proposaltext/2019/REG/SB192
AB 200,Wisconsin,2019 Regular Session,Relating to: sales and use tax exemptions for precious metals and cryptocurrency. (FE),May 08 2019,Failed To Pass Pursuant To Senate Joint Resolution 1,Apr 01 2020,https://openstates.org/wi/bills/2019/AB200/,Ken Skowronski,,http://docs.legis.wisconsin.gov/document/proposaltext/2019/REG/AB200
HD 4938,Massachusetts,191st Legislature (2019-2020),An Act relative to financial literacy in Massachusetts,Mar 26 2020,Referred To The Committee On House Rules,Mar 26 2020,https://openstates.org/ma/bills/191st/HD4938/,Christine P. Barber,Tim Wallis,https://malegislature.gov/Bills/191/HD4938.pdf
HB 5656,Michigan,2019-2020 Regular Session,"Crimes; prostitution; references to prostitute and prostitution; modify in the Michigan penal code. Amends secs. 13, 159g & 411j of 1931 PA 328 (MCL 750.13 et seq.).  TIE BAR WITH: HB 5655'20",Mar 12 2020,Bill Electronically Reproduced 03/17/2020,Mar 17 2020,https://openstates.org/mi/bills/2019-2020/HB5656/,,Pauline Wendzel; Daire Rendon; Julie Calley; Mary Whiteford; Ann M. Bollin; Annette Glenn; Lynn Afendoulis; Joseph Bellino; Bronna Kahle; Graham Filler; Eric Leutheuser; Sue Allor; Diana Farrington; Abdullah Hammoud; Jeff Yaroch; Karen Whitsett; Kathy Crawford; Julie Alexander; Sara Cambensy,http://legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2020-HIB-5656.htm
HB 5536,Michigan,2019-2020 Regular Session,Children; protection; the Michigan penal code; amend to reflect amendments to the public health code. Amends secs. 135 & 157m of 1931 PA 328 (MCL 750.135 & 750.157m).  TIE BAR WITH: HB 5510'19,Feb 20 2020,Bill Electronically Reproduced 02/25/2020,Feb 25 2020,https://openstates.org/mi/bills/2019-2020/HB5536/,,John Reilly,http://legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2020-HIB-5536.htm
SB 1667,Oklahoma,2020 Regular Session,Cryptocurrency; authorizing cryptocurrency to be used for purchases and payments under certain conditions; providing for regulations. Effective date.,Feb 03 2020,"Second Reading Referred To Business, Commerce And Tourism Committee Then To Appropriations Committee",Feb 06 2020,https://openstates.org/ok/bills/2020/SB1667/,Nathan Dahm,,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 INT/SB/SB1667 INT.PDF
A 2213,New York,2019 Regular Session,Relates to financial technology products and services; establishes a regulatory sandbox program,Jan 22 2019,Referred To Banks,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A2213/,KIM,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2213&term=2019&Text=Y
A 1427,New York,2019 Regular Session,Establishes a task force to study the impact of a state-issued cryptocurrency on the state of New York,Jan 15 2019,Referred To Governmental Operations,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A1427/,VANEL,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A1427&term=2019&Text=Y
A 1500,New York,2019 Regular Session,Relates to establishing cryptocurrencies as a form of payment for state agencies,Jan 15 2019,Referred To Governmental Operations,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A1500/,VANEL,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A1500&term=2019&Text=Y
HB 470,New Hampshire,2020 Regular Session,allowing state agencies to accept cryptocurrencies as payment.,Jan 10 2019,Inexpedient To Legislate: Ma Vv 01/08/2020  Hj 1  P. 43,Jan 08 2020,https://openstates.org/nh/bills/2020/HB470/,,,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=751&txtFormat=html
S 4562,New York,2019 Regular Session,Establishes a task force to study the impact of a state-issued cryptocurrency on the state of New York,Mar 14 2019,Referred To Finance,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/S4562/,PARKER,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S4562&term=2019&Text=Y
A 1502,New York,2019 Regular Session,Establishes a task force to study the potential designation of economic empowerment zones in the state of New York,Jan 15 2019,Referred To Economic Development,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A1502/,VANEL,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A1502&term=2019&Text=Y
HB 4103,Michigan,2019-2020 Regular Session,Crimes; credit cards; crimes involving credit cards; include cryptocurrency and distributed ledger technology in definition section of credit chapter in penal code. Amends sec. 157m of 1931 PA 328 (MCL 750.157m).,Jan 29 2019,Assigned Pa 175'19,Dec 31 2019,https://openstates.org/mi/bills/2019-2020/HB4103/,,Vanessa Guerra; Diana Farrington; Steve Marino; Ryan Berman; Beau LaFave; Robert Wittenberg,http://legislature.mi.gov/documents/2019-2020/publicact/htm/2019-PA-0175.htm
HB 4105,Michigan,2019-2020 Regular Session,Crimes; embezzlement; crimes involving embezzlement; include cryptocurrency in definitions in embezzlement section in penal code. Amends sec. 174 of 1931 PA 328 (MCL 750.174).,Jan 29 2019,Assigned Pa 173'19,Dec 31 2019,https://openstates.org/mi/bills/2019-2020/HB4105/,,Ryan Berman; Diana Farrington; Vanessa Guerra; Steve Marino; Beau LaFave; Robert Wittenberg,http://legislature.mi.gov/documents/2019-2020/publicact/htm/2019-PA-0173.htm
HB 4107,Michigan,2019-2020 Regular Session,Crimes; definitions; definition of cryptocurrency in money laundering definition section of penal code; provide for. Amends sec. 411j of 1931 PA 328 (MCL 750.411j).,Jan 29 2019,Assigned Pa 171'19,Dec 31 2019,https://openstates.org/mi/bills/2019-2020/HB4107/,,Diana Farrington; Ryan Berman; Vanessa Guerra; Steve Marino; Beau LaFave; Robert Wittenberg,http://legislature.mi.gov/documents/2019-2020/publicact/htm/2019-PA-0171.htm
S 482,United States,116th Congress,Defending American Security from Kremlin Aggression Act of 2019,Feb 13 2019,Committee On Foreign Relations. Ordered To Be Reported With An Amendment In The Nature Of A Substitute Favorably.,Dec 18 2019,https://openstates.org/us/bills/116/S482/,LINDSEY O. GRAHAM,Robert Menendez; Cory Gardner; BENJAMIN L. CARDIN; Jeanne Shaheen,https://www.govinfo.gov/content/pkg/BILLS-116s482is/pdf/BILLS-116s482is.pdf
HR 4813,United States,116th Congress,Keep Big Tech Out Of Finance Act,Oct 23 2019,"Referred To The Subcommittee On Commodity Exchanges, Energy, And Credit.",Nov 13 2019,https://openstates.org/us/bills/116/HR4813/,Jesus G. Garcia,,https://www.govinfo.gov/content/pkg/BILLS-116hr4813ih/pdf/BILLS-116hr4813ih.pdf
HB 470,New Hampshire,2019 Regular Session,allowing state agencies to accept cryptocurrencies as payment.,Jan 10 2019,Committee Report: Inexpedient To Legislate   (Vote 17-1; Cc),Nov 13 2019,https://openstates.org/nh/bills/2019/HB470/,,,None
RC 23-0123,District of Columbia,23rd Council Period (2019-2020),"Correspondence from the Mayor - Department of Insurance, Securities, and Banking Fiscal Years 2017 & 2018 Biennial Report",Oct 31 2019,Rc23-0123 Introduced By Chairman Phil Mendelson At Office Of The Secretary,Oct 31 2019,https://openstates.org/dc/bills/23/RC23-0123/,Chairman Phil Mendelson,,http://lims.dccouncil.us/Download/43483/RC23-0123-Introduction.pdf
HB 2540,Illinois,101st Regular Session,Blockchain Bus Development Act,Feb 13 2019,Public Act . . . . . . . . . 101-0259,Aug 09 2019,https://openstates.org/il/bills/101st/HB2540/,Thomas Cullerton,"Curtis J. Tarver, II; Justin Slaughter; Mary E. Flowers; Andrew S. Chesney; Diane Pappas; Delia C. Ramirez; Anne Stava-Murray; Emanuel Chris Welch; André Thapedi; Dan McConchie; Emil Jones, III; Elgie R. Sims, Jr.; Toi W. Hutchinson",http://ilga.gov/legislation/fulltext.asp?DocName=10100HB2540enr&GA=101&SessionId=108&DocTypeId=HB&LegID=118645&DocNum=2540&GAID=15&SpecSess=&Session=&print=true
S 1025,United States,116th Congress,VERDAD Act of 2019,Apr 03 2019,Committee On Foreign Relations. Reported By Senator Risch With An Amendment In The Nature Of A Substitute. Without Written Report.,Jun 03 2019,https://openstates.org/us/bills/116/S1025/,Robert Menendez,Marco Rubio; RICHARD J. DURBIN; Ted Cruz; BENJAMIN L. CARDIN; John Cornyn; Timothy Kaine; Todd Young; Jeanne Shaheen; LINDSEY O. GRAHAM; Michael F. Bennet; John Barrasso; Christopher A. Coons; Bill Cassidy; Josh Hawley; Kirsten E. Gillibrand; THOMAS R. CARPER; Cory Gardner; John Neely Kennedy,https://www.govinfo.gov/content/pkg/BILLS-116s1025is/pdf/BILLS-116s1025is.pdf
HB 1300,Tennessee,111th Regular Session (2019-2020),"Insurance Companies, Agents, Brokers, Policies - As enacted, revises various provisions of the Revised Tennessee Captive Insurance Act. - Amends TCA Title 56.",Feb 06 2019,Comp. Became Pub. Ch. 452,May 29 2019,https://openstates.org/tn/bills/111/HB1300/,Ed Jackson,,http://www.capitol.tn.gov/Bills/111/Amend/SA0356.pdf
SB 1157,Tennessee,111th Regular Session (2019-2020),"Insurance Companies, Agents, Brokers, Policies - As enacted, revises various provisions of the Revised Tennessee Captive Insurance Act. - Amends TCA Title 56.",Feb 06 2019,Effective Date(S) 05/22/2019,May 29 2019,https://openstates.org/tn/bills/111/SB1157/,Glen Casada,,http://www.capitol.tn.gov/Bills/111/Amend/HA0437.pdf
HB 2488,Oregon,2019 Regular Session,Relating to cryptocurrency.,Jan 14 2019,"Chapter 50, (2019 Laws): Effective Date January 1, 2020.",May 10 2019,https://openstates.org/or/bills/2019 Regular Session/HB2488/,Paul Holvey,,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/HB2488/A-Engrossed
HB 584,Montana,2019 Regular Session,Generally revise laws relating to cryptocurrency,Jan 04 2019,Chapter Number Assigned,May 09 2019,https://openstates.org/mt/bills/2019/HB584/,Shane A Morigeau,,https://leg.mt.gov/bills/2019/HB0599//HB0584_x.pdf
HB 4214,Texas,86th Legislature (2019),"Relating to matters concerning governmental entities, including cybersecurity, governmental efficiencies, information resources, and emergency planning.",Mar 08 2019,Received From The House,May 01 2019,https://openstates.org/tx/bills/86/HB4214/,Cesar Blanco,John H. Bucy III; Stan Lambert; Morgan Meyer; Miller; John Raney; Lynn Stucky,http://www.legis.state.tx.us/tlodocs/86R/billtext/html/HB04214I.HTM
HB 649,New Mexico,2019 Regular Session,Internet Business Development & Innovations,Feb 14 2019,Action Postponed Indefinitely,Apr 10 2019,https://openstates.org/nm/bills/2019/HB649/,"Cook, Zachary J.",,http://www.nmlegis.gov/Sessions/19%20Regular/bills/house/HB0649.HTML
HB 2641,Illinois,101st Regular Session,Gaming Cybersecurity Act,Feb 14 2019,Rule 19(A) / Re-Referred To Rules Committee,Mar 29 2019,https://openstates.org/il/bills/101st/HB2641/,"Jaime M. Andrade, Jr.",,http://ilga.gov/legislation/fulltext.asp?DocName=10100HB2641&GA=101&SessionId=108&DocTypeId=HB&LegID=118805&DocNum=2641&GAID=15&SpecSess=&Session=&print=true
HR 171,Kentucky,2019 Regular Session,A RESOLUTION urging a comprehensive study of and subsequent plan to deal with the growing blockchain technology.,Mar 01 2019,Adopted By Voice Vote,Mar 14 2019,https://openstates.org/ky/bills/2019RS/HR171/,C. McCoy,,https://apps.legislature.ky.gov/recorddocuments/bill/19RS/hr171/orig_bill.pdf
SB 19-023,Colorado,2019 Regular Session,Cryptocurrency Exemption Colorado Digital Token Act,Jan 04 2019,Governor Signed,Mar 06 2019,https://openstates.org/co/bills/2019A/SB19-023/,Hugh McKean,,http://leg.colorado.gov/sites/default/files/2019a_023_signed.pdf
HCR 3002,North Dakota,66th Legislative Assembly (2019-2020),A concurrent resolution requesting the Legislative Management to study the potential benefits of distributed ledger technology and blockchain for state government.,Jan 03 2019,"Second Reading, Failed To Adopt",Feb 08 2019,https://openstates.org/nd/bills/66/HCR3002/,Legislative Management,,http://www.legis.nd.gov/assembly/66-2019/documents/19-3043-01000.pdf
HB 5335,Illinois,100th Regular Session,Revenue-Cryptocurrency,Feb 15 2018,Session Sine Die,Jan 08 2019,https://openstates.org/il/bills/100th/HB5335/,Michael J. Zalewski,,http://ilga.gov/legislation/fulltext.asp?DocName=10000HB5335&GA=100&SessionId=91&DocTypeId=HB&LegID=111121&DocNum=5335&GAID=14&Session=&print=true
HB 6253,Michigan,2017-2018 Regular Session,Crimes; embezzlement; crimes involving embezzlement; include cryptocurrency in definitions in embezzlement section in penal code. Amends sec. 174 of 1931 PA 328 (MCL 750.174).,Jun 12 2018,Bill Electronically Reproduced 06/12/2018,Aug 15 2018,https://openstates.org/mi/bills/2017-2018/HB6253/,,Klint Kesto; 39; Vanessa Guerra,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2018-HIB-6253.htm
